mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	mjd	fid	magpsf	mjdmin	mjdmax	maggmin	maggmax	magrmin	magrmax	latestrmag	sherlock_classification	ramean	decmean	ncand
ZTF19acxottg	2458827.9345949	2	19.171	2458827.9345949	2458827.9504861	NULL	NULL	19.1116	19.2166	19.2166	ORPHAN	141.18278036666666	20.234794633333333	3
ZTF19acxottg	2458827.9373032	2	19.1116	2458827.9345949	2458827.9504861	NULL	NULL	19.1116	19.2166	19.2166	ORPHAN	141.18278036666666	20.234794633333333	3
ZTF19acxottg	2458827.9504861	2	19.2166	2458827.9345949	2458827.9504861	NULL	NULL	19.1116	19.2166	19.2166	ORPHAN	141.18278036666666	20.234794633333333	3
ZTF19acxotjl	2458828.048287	1	19.3203	2458827.9345949	2458828.048287	19.3203	19.3203	18.7873	18.808	18.7873	ORPHAN	140.66711426666666	20.155299866666667	3
ZTF19aclhohd	2458828.9333333	2	19.1433	2458788.0281366	2458828.9333333	18.3926	18.679	18.2583	19.1433	19.1433	SN	141.25355962499995	1.888567983333333	12
ZTF19acyffyy	2458830.6857176	1	18.8968	2458830.6843056	2458830.6857176	18.6922	18.8968	NULL	NULL	NULL	ORPHAN	43.04279666666667	36.89781613333333	3
ZTF19acynsgw	2458833.6294792	1	20.0008	2458806.717963	2458833.6294792	20.0008	20.1243	19.8607	19.8607	19.8607	ORPHAN	7.3699725	41.14886633333333	3
ZTF19acypcau	2458833.7254167	2	15.7007	2458833.7245139	2458833.7254167	NULL	NULL	15.6865	15.7029	15.7007	ORPHAN	61.23966263333333	8.188970666666666	3
ZTF19aczlbmm	2458836.5959491	2	19.6783	2458836.5959491	2458836.6309722	20.2612	20.2612	19.5579	19.6783	19.5579	ORPHAN	27.274180633333334	25.7002432	3
ZTF19aczlbmm	2458836.596412	2	19.5579	2458836.5959491	2458836.6309722	20.2612	20.2612	19.5579	19.6783	19.5579	ORPHAN	27.274180633333334	25.7002432	3
ZTF19adazfkw	2458838.6438542	1	19.2881	2458838.6429514	2458838.6462153	19.2881	19.306	NULL	NULL	NULL	ORPHAN	26.14614473333333	10.374981866666667	3
ZTF19adbrhxq	2458846.7473611	1	19.6543	2458846.7464468	2458846.7473611	19.6446	19.7269	NULL	NULL	NULL	ORPHAN	110.26580633333333	29.76804316666667	3
ZTF19acyigeq	2458846.9302894	2	20.5766	2458827.9477083	2458846.9302894	NULL	NULL	19.8855	20.7224	20.5766	SN	153.54377835	39.0300804	6
ZTF19adcezis	2458846.9973611	1	20.1903	2458827.9467824	2458846.9973611	20.1903	20.1903	19.8542	19.8956	19.8542	ORPHAN	135.91224396666667	40.7354169	3
ZTF20aaabvfc	2458849.6291088	1	19.6756	2458849.6291088	2458849.6304861	19.5784	19.7423	NULL	NULL	NULL	ORPHAN	48.41816500000001	22.563340933333333	3
ZTF20aaabvfc	2458849.6300347	1	19.5784	2458849.6291088	2458849.6304861	19.5784	19.7423	NULL	NULL	NULL	ORPHAN	48.41816500000001	22.563340933333333	3
ZTF20aaadolb	2458849.6703704	2	19.5343	2458849.6694444	2458849.6713079	NULL	NULL	19.4274	19.5343	19.4274	ORPHAN	49.773202833333336	22.459707866666665	3
ZTF20aaadkxr	2458849.6703704	2	19.0584	2458849.6689931	2458849.6703704	NULL	NULL	18.9337	19.0584	19.0584	ORPHAN	48.418907	22.563366533333333	3
ZTF20aaadolb	2458849.6713079	2	19.4274	2458849.6694444	2458849.6713079	NULL	NULL	19.4274	19.5343	19.4274	ORPHAN	49.773202833333336	22.459707866666665	3
ZTF20aaawweo	2458849.9535648	2	19.728	2458849.9516898	2458849.9535648	NULL	NULL	19.728	20.1019	19.728	ORPHAN	162.86927373333333	22.5188617	3
ZTF20aaaxnod	2458849.9707986	1	19.9841	2458849.9689236	2458849.9707986	19.9841	20.1926	NULL	NULL	NULL	ORPHAN	121.79680333333334	36.90611606666667	3
ZTF20aaaycjw	2458849.9877083	1	19.8602	2458827.9218981	2458851.9444097	19.8602	19.8602	19.6673	19.6698	19.6698	ORPHAN	137.46234613333334	69.83001683333333	3
ZTF19adcfioe	2458849.9914699	1	20.2571	2458846.9298264	2458849.9914699	20.2571	20.2863	20.3034	20.3034	20.3034	ORPHAN	161.59527649999998	40.8889825	3
ZTF20aabarhm	2458850.6178935	2	18.5549	2458850.6174421	2458850.6183565	NULL	NULL	18.5231	18.5549	18.5493	ORPHAN	35.851388066666665	34.915153366666665	3
ZTF20aabarhl	2458850.6183565	2	17.6813	2458850.6174421	2458850.6183565	NULL	NULL	17.6191	17.6813	17.6813	ORPHAN	35.53428676666667	34.33450583333333	3
ZTF20aabawvx	2458850.6247801	2	18.3247	2458830.6778241	2458850.6247801	19.7307	19.9153	18.3247	18.3247	18.3247	ORPHAN	17.5333744	48.2563063	3
ZTF20aacbatd	2458851.9355903	2	19.9817	2458851.9341898	2458851.9355903	NULL	NULL	19.8199	20.0151	19.9817	SN	106.04108396666668	29.868021600000002	3
ZTF20aacxinq	2458852.9373611	2	19.2931	2458852.9351042	2458852.9373611	NULL	NULL	19.2291	19.2931	19.2931	ORPHAN	140.7742433666667	8.133459633333333	3
ZTF20aadcftz	2458853.033287	1	19.907	2458853.033287	2458867.9958912	19.5228	20.2764	19.5503	20.1317	20.0838	ORPHAN	199.28125522142858	70.32896640714286	14
ZTF20aabqvrk	2458854.0283565	1	19.9794	2458851.0493866	2458857.0571875	19.7573	20.0426	NULL	NULL	NULL	ORPHAN	227.72317996666666	49.1403243	3
