mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	ramean	decmean	mjdmin	mjdmax	magrmin	latestrmag	classification	ncand	sep
ZTF19aagmvbu	130.557592775	-23.07318625	58800.52282410022	58864.31598380022	18.082	18.9523	SN	4	NULL
ZTF19aaqzfuk	139.14449263333333	13.066128800000001	58800.52873839997	58803.43142359983	18.4557	18.4557	SN	3	57.40330629243487
ZTF19acsbveq	166.0448952	-8.561211400000001	58800.52974539995	58804.51870370004	18.3671	18.3671	SN	2	8.945864865829506
ZTF19acpmdzh	173.9415406	-2.7618529749999996	58800.5301967999	58828.566122699995	18.7443	19.4964	SN	4	12.750052357057887
ZTF19acolhnl	187.05365763333336	4.1601756	58800.53069439996	58828.56796299992	18.3261	19.2896	SN	3	4.771130597120829
ZTF19acscajp	207.87882833333333	37.22173646666666	58800.53613429982	58805.53462960012	19.3357	19.3357	SN	3	3.8186140326514093
ZTF19acsfpmi	343.131485925	-19.4640179	58801.17384260008	58804.21040510014	18.2503	18.2503	SN	4	5.141925796662797
ZTF19acspfai	179.67902479999998	25.27125185	58799.488842600025	58802.55494209984	19.6155	19.6155	SN	2	5.646205662061008
ZTF19acslvgy	5.398938975	36.3994709	58803.25447920011	58806.22564810002	19.5318	19.6145	SN	4	27.611763820660226
ZTF18adatknf	69.81471760000001	42.7092522	58803.32267360017	58804.35961809987	17.178	18.835	SN	3	NULL
ZTF19actbatj	326.8396624	48.501150100000004	58785.23756940011	58804.17592590023	19.9034	19.9034	SN	2	5.355135514992183
ZTF19actbbxf	12.978803825	62.275031325	58787.12766199978	58804.184432900045	19.2454	19.6551	SN	4	NULL
ZTF19actbbxm	13.6813649	62.375724633333334	58787.12766199978	58804.184432900045	19.3554	19.7331	SN	3	NULL
ZTF18acvvxzi	164.99166552499997	-11.96578165	58804.51870370004	58853.54391200002	19.1081	19.3013	SN	4	NULL
ZTF19actfrkd	165.18400605	-19.41314235	58804.520960600115	58850.48041669978	19.4402	19.4402	SN	2	5.442857921491594
ZTF19acthewm	353.6696338	70.54216210000001	58788.15103009995	58805.17989580007	19.8693	19.8693	SN	2	51.43220719873507
ZTF19acthgxq	20.5177094	-9.059796200000001	58805.18978009978	58805.23115740018	19.7429	19.7429	SN	2	0.5271813717515215
ZTF19acthhzn	27.35821775	-15.76206835	58805.19025459979	58805.231631900184	19.569	19.569	SN	2	8.072676709598648
ZTF19acthshd	19.125446099999998	0.09448555	58802.18876159983	58805.2105208002	19.88	19.88	SN	2	10.446629574948917
ZTF19acrxiau	191.517026	5.16722975	58805.53689809982	58828.568414399866	19.6697	19.6697	SN	2	7.8759815245754305
ZTF19actstgc	1.12378635	4.9108462500000005	58790.16072920011	58806.177187500056	19.9166	19.9166	SN	2	44.141607597633765
ZTF19acttmmb	19.9209098	32.699074525	58802.23531250004	58806.2323264	20.127	20.3652	SN	4	1.3345750289555498
ZTF19acttsol	359.56366834999994	13.790533775	58791.20776619995	58806.21214119997	20.4966	20.4966	SN	4	NULL
ZTF19actunpg	42.36090696666667	2.2512054	58803.3363541998	58806.34221060015	19.538	19.538	SN	3	10.714194062987747
ZTF19actzifj	40.742733	-22.7079978	58806.33531250013	58861.126875000075	19.5715	19.5715	SN	2	5.043284323054385
ZTF19acuaddj	73.7759514	-5.610023466666667	58805.35788189992	58806.37164349994	19.73	19.73	SN	3	3.6074073174585064
ZTF19acubxpm	99.1442526	19.6336519	58792.4919906999	58806.47883100016	19.9139	19.9139	SN	2	NULL
ZTF19acbmsvv	99.07709373333334	19.290340033333333	58756.463090300094	58806.47883100016	20.0489	20.0489	SN	3	NULL
ZTF19acvvlbm	328.33191945	19.25831175	58792.13679399993	58814.09384260001	20.0546	20.0546	SN	2	33.097892159881184
ZTF19acvyknc	14.7616368	24.9018485	58803.249548600055	58814.23653940018	19.8981	19.8981	SN	2	48.742423704035076
ZTF19acvgduw	2.6241407499999996	14.0279339	58811.17190970015	58819.16868059989	19.5557	19.5557	SN	4	28.068342822025905
ZTF19acwqvjh	8.6907942	63.37107965	58804.22023149999	58819.20796300005	19.3711	19.3711	SN	2	NULL
ZTF19acvfryu	294.6812463333333	36.912063233333335	58812.095393499825	58820.14160879981	18.7935	18.7935	SN	3	3.2829104972273813
ZTF18abzsqjw	75.6188164	39.993955299999996	58827.25946759991	58830.25725689996	18.9509	19.1215	SN	4	NULL
ZTF19acxnhts	108.54333956666666	9.353676233333333	58827.33329859981	58833.36359950015	19.4431	19.5343	SN	3	6.289258675980489
ZTF19acxoldj	134.6668058333333	6.234026533333334	58827.41824069992	58835.46255790023	19.4536	19.4536	SN	3	9.00104584045432
ZTF19acxpxvl	145.38859183333332	20.066894166666668	58827.4373031999	58827.54733800003	19.8292	19.8292	SN	3	3.8251966076988477
ZTF19acxxspb	128.01158705	-10.556750925	58828.41743060015	58833.413958299905	18.0475	18.4328	SN	4	NULL
ZTF19acxyudk	200.86361195	22.1696418	58828.5524420999	58828.56978010014	19.2531	19.2531	SN	2	5.7063610942836265
ZTF19acszsfm	180.73689336666666	-6.7756526	58830.56393520022	58850.4827083	19.4754	19.8971	SN	3	29.36225139402047
ZTF19acykioj	348.10165975	11.8756765	58828.12865740014	58838.095694399904	19.1502	19.2653	SN	4	21.48648193465944
ZTF17aaadzry	25.299275975	53.500388775	58676.43103010021	58831.197731500026	17.6664	17.6664	SN	4	NULL
ZTF19acynrpz	357.6737452666667	24.9104021	58833.08549770014	58837.087858799845	20.3051	20.3051	SN	3	66.60259622202099
ZTF19acynugh	13.413286633333334	62.48264416666666	58812.24696760019	58833.13644680008	20.1807	20.1807	SN	3	NULL
ZTF19acynufw	12.971156366666667	62.275501899999995	58803.26218750002	58833.13644680008	19.6226	19.6226	SN	3	NULL
